file	relative_path	inferred_manual_or_generated	curation_type	dataset_id_if_applicable	used_in_stage	used_in_figure_or_table	evidence_of_manual_edit	source_file_or_publication	notes
<local_project_root>\00_metadata\verified_metadata\GSE279743_design.tsv	00_metadata/verified_metadata/GSE279743_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279743_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\GSE279744_design.tsv	00_metadata/verified_metadata/GSE279744_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279744_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\GSE314070_design.tsv	00_metadata/verified_metadata/GSE314070_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE314070_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\GSE39129_design.tsv	00_metadata/verified_metadata/GSE39129_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE39129_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\control_audit.tsv	00_metadata/verified_metadata/scoring/control_audit.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	NA	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE119119\GSE119119_design.tsv	00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE119119	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE139529\GSE139529_design.tsv	00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE139529	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE166655\GSE166655_design.tsv	00_metadata/verified_metadata/scoring/GSE166655/GSE166655_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE166655	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE167521\GSE167521_design.tsv	00_metadata/verified_metadata/scoring/GSE167521/GSE167521_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE167521	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE178313\GSE178313_design.tsv	00_metadata/verified_metadata/scoring/GSE178313/GSE178313_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE178313	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE190850_HUMAN\GSE190850_HUMAN_design.tsv	00_metadata/verified_metadata/scoring/GSE190850_HUMAN/GSE190850_HUMAN_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE190850_HUMAN	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE262515_cell_line\GSE262515_cell_line_design.tsv	00_metadata/verified_metadata/scoring/GSE262515_cell_line/GSE262515_cell_line_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_cell	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE262515_split_summary.tsv	00_metadata/verified_metadata/scoring/GSE262515_split_summary.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_split	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE262515_tissue\GSE262515_tissue_design.tsv	00_metadata/verified_metadata/scoring/GSE262515_tissue/GSE262515_tissue_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_tissue	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE264344\GSE264344_design.tsv	00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE279372\GSE279372_design.tsv	00_metadata/verified_metadata/scoring/GSE279372/GSE279372_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279372	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE279743\GSE279743_design.tsv	00_metadata/verified_metadata/scoring/GSE279743/GSE279743_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279743	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE279744\GSE279744_design.tsv	00_metadata/verified_metadata/scoring/GSE279744/GSE279744_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279744	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE314070\GSE314070_design.tsv	00_metadata/verified_metadata/scoring/GSE314070/GSE314070_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE314070	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\scoring\GSE39129\GSE39129_design.tsv	00_metadata/verified_metadata/scoring/GSE39129/GSE39129_design.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE39129	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\control_report.tsv	00_metadata/verified_metadata/splited/control_report.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	NA	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE119119_design\GSE119119_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE119119_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE119119_design\GSE119119_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE119119_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE119119_design\GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE119119_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE119119_design\GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE119119_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE119119_design\GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE119119_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE119119_design\GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE119119_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE119119_design\GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE119119_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE119119_design\GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE119119_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE139529_design\GSE139529_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE139529_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE139529_design\GSE139529_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE139529_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE139529_design\GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none.tsv	00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE139529_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE139529_design\GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none.tsv	00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE139529_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE139529_design\GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none.tsv	00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE139529_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE139529_design\GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none.tsv	00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE139529_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE139529_design\GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none.tsv	00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE139529_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE139529_design\GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none.tsv	00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE139529_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE166655_design\GSE166655_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE166655_design/GSE166655_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE166655_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE166655_design\GSE166655_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE166655_design/GSE166655_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE166655_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE166655_design\GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated.tsv	00_metadata/verified_metadata/splited/GSE166655_design/GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE166655_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE166655_design\GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated.tsv	00_metadata/verified_metadata/splited/GSE166655_design/GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE166655_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE167521_design\GSE167521_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE167521_design/GSE167521_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE167521_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE167521_design\GSE167521_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE167521_design/GSE167521_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE167521_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE167521_design\GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE167521_design/GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE167521_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
